grades,students,yahal,grad_year,subject,city,school_name,school_id,supervision,sector,district
72.38,66,2,2019,אזרחות              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
75,32,3,2019,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
74.44,16,4,2019,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
81.81,21,5,2019,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
77.19,32,5,2019,ביולוגיה            ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
82,54,2,2019,הסטוריה לבי'ס ערבי  ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
92.36,14,5,2019,הסטוריה לבי'ס ערבי  ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
73.31,13,5,2019,כימיה               ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
71.82,40,5,2019,מדעי לימודי הסביבה  ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
58.73,11,5,2019,מערכות תקשוב        ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
70.6,43,3,2019,מתמטיקה             ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
77.87,15,4,2019,מתמטיקה             ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
72.45,55,3,2019,עברית לבי'ס ערבי    ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
75.52,63,3,2019,ערבית לערבים        ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
77.91,22,2,2019,אזרחות              ,אפרת                ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
90.77,22,5,2019,אנגלית              ,אפרת                ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
75.27,22,2,2019,הבעה עברית          ,אפרת                ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
80.07,14,2,2019,הסטוריה             ,אפרת                ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
82.78,18,2,2019,מחשבת ישראל וספרות  ,אפרת                ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
86.91,11,4,2019,מתמטיקה             ,אפרת                ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
79.91,22,5,2019,תושבע'פ ותלמוד      ,אפרת                ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
82.88,16,5,2019,תנ'ך                ,אפרת                ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
78.67,75,2,2019,אזרחות              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
81.64,22,3,2019,אנגלית              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
79.65,23,4,2019,אנגלית              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
87.3,30,5,2019,אנגלית              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
74.99,75,2,2019,הבעה עברית          ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
79.91,75,2,2019,הסטוריה             ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
81.09,34,5,2019,למודי ארץ ישראל וארכ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
81.26,65,2,2019,מחשבת ישראל וספרות  ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
80.87,15,5,2019,מערכות תקשוב        ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
79.16,55,3,2019,מתמטיקה             ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
80.62,13,4,2019,מתמטיקה             ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
75.76,75,5,2019,תושבע'פ ותלמוד      ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
78.69,35,3,2019,תנ'ך                ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
80.05,40,5,2019,תנ'ך                ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
85.6,15,5,2019,תשתיות מחשוב ותקשוב ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
69.1,73,2,2019,אזרחות              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
72.73,15,3,2019,אנגלית              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
73.22,32,4,2019,אנגלית              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
83.76,21,5,2019,אנגלית              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
70.23,82,2,2019,הבעה עברית          ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
78.94,77,2,2019,הסטוריה             ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
73.84,19,5,2019,חקלאות              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
89.32,19,5,2019,למודי ארץ ישראל וארכ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
90.78,27,5,2019,מדע וטכנולוגיה לכל  ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
81.09,76,2,2019,מחשבת ישראל וספרות  ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
84.69,36,3,2019,מתמטיקה             ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
85.2,35,4,2019,מתמטיקה             ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
83.89,76,5,2019,תושבע'פ ותלמוד      ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
80.48,27,3,2019,תנ'ך                ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
84.5,52,5,2019,תנ'ך                ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
84.51,85,2,2019,אזרחות              ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
84.83,42,4,2019,אנגלית              ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
88.79,42,5,2019,אנגלית              ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
90.73,15,5,2019,ביולוגיה            ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
84.41,86,2,2019,הבעה עברית          ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
87.86,86,2,2019,הסטוריה             ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
91.36,11,5,2019,כימיה               ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
90.06,17,5,2019,למודי ארץ ישראל וארכ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
92.57,84,5,2019,"מחשבת ישראל לבי""ס דת",בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
90.37,19,3,2019,מתמטיקה             ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
88.63,41,4,2019,מתמטיקה             ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
84.92,25,5,2019,מתמטיקה             ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
96.62,13,5,2019,ספרות               ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
90.18,17,5,2019,עצוב                ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
94.58,12,5,2019,פסיכולוגיה התפתחותית,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
88.65,80,3,2019,תושבע'פ ותלמוד      ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
91.81,84,5,2019,תנ'ך                ,בית אל              ,אולפנת רעיה         ,144337,דתי        ,יהודי,ירושלים       
