grades,students,yahal,grad_year,subject,city,school_name,school_id,supervision,sector,district
74.21,57,2,2017,אזרחות              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
70.67,24,3,2017,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
78.52,21,4,2017,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
77.57,14,5,2017,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
73.55,40,5,2017,ביולוגיה            ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
82.43,51,2,2017,הסטוריה לבי'ס ערבי  ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
76.38,16,5,2017,כימיה               ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
70.08,26,5,2017,מדעי לימודי הסביבה  ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
67.06,36,3,2017,מתמטיקה             ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
74.02,59,3,2017,עברית לבי'ס ערבי    ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
80.25,57,3,2017,ערבית לערבים        ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
75.3,27,2,2017,אזרחות              ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
89,26,5,2017,אנגלית              ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
67.62,26,2,2017,הבעה עברית          ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
77.67,21,2,2017,הסטוריה             ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
78.55,11,5,2017,למודי ארץ ישראל וארכ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
72.77,26,2,2017,מחשבת ישראל וספרות  ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
82.5,16,3,2017,מתמטיקה             ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
84.18,11,4,2017,מתמטיקה             ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
73.77,26,5,2017,תושבע'פ ותלמוד      ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
80.69,16,3,2017,תנ'ך                ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
80.36,11,5,2017,תנ'ך                ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
77.73,66,2,2017,אזרחות              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
79.21,19,3,2017,אנגלית              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
