school_id,school_x,school_y
1362,35.09756472,32.74649341
1792,34.66097612,31.79848751
2840,34.79365127,32.04698397
5389,34.65106171,31.80010416
5561,34.87842531,32.08397867
6106,34.84066559,32.09421943
9266,35.30242149,32.69981024
9704,35.23997568,32.98230805
9787,35.40432002,32.89047965
9803,35.23997568,32.98230805
9878,35.3460503,33.01625289
10231,34.87399706,32.19289419
11809,35.49183899,32.50471101
11940,34.55996912,31.65455347
12070,34.75366623,32.03068789
16071,34.94223861,32.09698647
16089,34.61608605,31.31386517
16097,34.78515486,31.23538642
16790,35.01320586,32.7871049
16923,34.87395171,32.18783508
18168,34.75827648,32.02959498
18200,34.81448871,31.89430132
19356,34.83032631,32.06043512
19521,34.80695887,31.96641415
20768,34.74609837,32.01982114
21261,34.55104786,31.65330866
21501,34.81696754,31.89302831
21535,34.59216612,31.42087866
26153,34.8706237,32.05931222
26369,34.79330768,32.08828505
27367,34.73565527,31.72473479
27375,34.74109939,31.72691009
28332,34.58799141,31.42723488
28340,34.58799141,31.42723488
28357,34.62373372,31.30700955
28639,35.52987131,32.79027293
29074,34.74008441,31.7357805
29082,34.73964841,31.73222566
29165,34.72738564,31.66241375
29272,34.86862696,32.18243741
29363,35.49234994,32.50476395
29561,35.08721952,32.83233507
29678,34.95356264,32.46349805
29694,34.78109369,32.051632
29728,34.65156416,31.80084584
29884,35.22193303,31.79198092
29892,34.93311089,30.98916772
30312,34.88325094,32.08525351
31500,34.81602732,31.89289919
31567,34.83925194,32.11669702
31831,34.77824289,32.0658708
31856,34.78619295,32.08516862
33217,34.79191069,31.27006865
33472,35.4895781,32.95901316
33506,34.85036529,32.02652187
33514,34.84969755,32.02948693
33522,35.02850865,31.074504
33571,34.97552781,32.47581266
33753,34.58524535,31.42418233
34314,35.13475323,32.16250174
34546,34.8874535,31.95077779
34595,35.21767901,31.80068422
34819,35.19902357,31.73377671
34868,34.65913073,31.79626113
34975,34.87508214,32.0858187
35220,34.96993137,32.82313524
35329,35.17305643,31.78984086
35337,35.21389801,31.79526448
35444,34.5902272,31.41985027
35923,34.99957292,32.80620835
36285,34.86823358,32.061362
36525,35.10443488,32.8049204
36657,35.18974539,31.81707953
36699,34.84143513,32.07374188
36988,35.19324106,31.81943369
37242,34.83322172,32.08815582
37325,35.17385957,31.78778485
37416,34.61674625,31.31243419
37457,35.54662354,32.98290845
37929,35.22921098,31.80269362
37952,34.65668733,31.79876673
38091,35.00065578,32.80425344
38588,34.83392066,32.09607561
38687,34.75626689,32.02706286
38794,35.17165254,31.78865007
38935,34.74592216,31.87001191
39131,35.0033829,32.76904649
39917,34.78245177,31.81495568
39941,35.31395831,32.68929573
40469,35.02850865,31.074504
40683,34.79910738,32.12541238
40816,34.61795929,31.31671469
40824,35.19181456,31.82393373
41038,34.83471108,32.09446371
41160,35.31178692,32.69257083
41384,35.17284843,31.78052475
41772,35.21621022,31.79308183
41780,35.23059732,31.77561997
41855,34.57969015,31.42608537
41871,34.58747216,31.42622229
42150,35.02473198,31.93479555
42382,35.19263896,31.81990259
42739,34.99347523,31.75225234
42879,35.4934163,32.4954736
42903,34.8716869,31.98201231
42929,34.66208939,31.79952034
43398,34.89141473,32.08613065
43489,34.74320239,31.8665481
43653,34.83961862,32.06977778
44008,34.9013749,32.15249069
44800,35.04309931,31.07823909
44818,35.03906584,31.07764772
44990,35.17500158,31.78242816
45013,34.8016196,31.97057269
45054,34.83399718,31.9403073
45112,35.19118088,31.82344667
45161,34.88202156,32.07337372
45252,35.18203711,31.76588973
45492,35.2373006,31.74435133
45534,34.79433064,31.25680031
47001,35.10214459,32.75371088
47126,35.15532307,31.79986374
47167,34.74432678,31.86994302
47332,34.88229411,32.07417701
47431,34.84663933,32.26525023
47472,35.31421634,32.6910268
47480,34.83005796,32.16255305
47787,35.17102089,31.78347331
47860,34.78645166,31.98865898
47894,34.83484144,32.09102826
48017,34.55231879,31.65097039
48025,34.8633242,31.92015269
48215,34.83553055,32.07243526
48223,34.84221305,32.08058874
48231,34.83722547,32.09882668
48249,34.82888373,32.08951375
48256,34.83859726,32.07360747
48264,34.75827648,32.02959498
48330,34.65627068,31.79421974
48355,34.83948113,32.08572113
48363,34.84186448,32.08570994
48389,34.83189956,32.09028919
48397,34.84027742,32.0718989
48405,34.83513017,32.07718656
48413,34.83491925,32.07696049
48421,34.83491925,32.07696049
48645,34.99056124,32.79290226
48934,35.22427897,31.80070141
49015,35.4981314,32.49264926
49676,34.79042966,32.10401192
49833,34.87347396,32.02942498
50013,34.80144117,32.12726849
50047,34.7443304,32.01140997
91421,35.30242149,32.69981024
91751,35.3460503,33.01625289
92429,35.03376369,32.42317087
93039,35.08112062,32.93291239
100180,35.1097094,32.81491532
100271,35.11820463,32.80866368
100297,35.10022285,32.80944349
100339,35.0928064,32.80587539
100354,35.0928064,32.80587539
100362,35.10849993,32.80761065
100370,35.11679219,32.81172847
100388,35.11306962,32.80783048
100396,35.12134311,32.80941422
100412,35.10643679,32.80980919
100420,35.09459485,32.80151275
100438,35.10994271,32.80634937
100453,35.11532734,32.81372019
100461,35.10011615,32.80938028
100479,35.10494162,32.80050248
100487,35.10671222,32.81181118
100495,35.1043883,32.79885193
100511,35.10849993,32.80761065
100529,35.10586923,32.80163034
100537,35.11554619,32.80840935
100545,35.10994271,32.80634937
100552,35.10571024,32.80058424
100560,35.12651269,32.80753299
100578,34.99144497,32.1297779
100586,35.1097094,32.81491532
100594,35.10671222,32.81181118
100602,35.11420501,32.80427861
100610,35.10211021,32.80236672
100628,35.09237897,32.79764249
100644,35.10494241,32.79979916
100651,35.10815318,32.81231724
100677,35.11103478,32.81369001
100685,35.11588529,32.81100648
100719,35.11706771,32.81387471
100727,35.10815318,32.81231724
100735,35.09237897,32.79764249
100743,35.10022285,32.80944349
100768,35.09271971,32.80689423
100776,35.11420501,32.80427861
100792,35.1156218,32.80753475
100818,35.09271971,32.80689423
100826,35.10874463,32.80843138
100859,35.11103478,32.81369001
100875,34.97326218,32.47570932
100883,34.9935722,32.47478915
100891,34.97682665,32.4627307
100917,34.9611238,32.46797653
100925,34.9611238,32.46797653
100933,34.96563777,32.46651533
100941,34.97155336,32.48246023
100958,34.97158464,32.4703138
100966,34.97928395,32.46689217
100974,34.97789932,32.4676201
100982,34.9611238,32.46797653
100990,34.95148362,32.46525229
101006,34.99326583,32.47387787
101014,34.99353962,32.46595199
101022,34.98943235,32.4710399
101030,34.98943235,32.4710399
101048,34.99829743,32.47390425
101055,34.99170256,32.47367686
101063,34.9935722,32.47478915
101071,34.95813353,32.47234417
101089,34.95247523,32.47202638
101097,34.95148362,32.46525229
101105,34.95084621,32.47255514
101113,34.97481781,32.46635207
101121,34.95848763,32.47513125
101139,34.95171279,32.47078946
101147,34.95171279,32.47078946
101188,34.97481781,32.46635207
101196,34.9935722,32.47478915
101204,34.95799236,32.47730348
101212,34.94274776,32.68626604
101220,34.94240612,32.69006153
101261,34.94107108,32.68715522
101279,35.03532956,32.76736243
101287,35.04817591,32.76318619
101295,35.04817591,32.76318619
101303,35.0484166,32.76591866
101360,35.02994777,32.77428012
101378,35.03575211,32.77532503
101386,35.03971824,32.77192187
101394,35.03971824,32.77192187
101410,35.03718087,32.77041267
101428,35.03748244,32.76895231
101436,35.03213497,32.76917951
101444,35.04321994,32.76548827
101451,35.03891746,32.76632124
101469,35.04321994,32.76548827
101477,35.03891746,32.76632124
101485,35.0342934,32.76784794
101493,35.05816555,32.46808165
101501,34.99139632,32.40492699
101519,35.04683327,32.43972602
101527,35.00423444,32.42530962
101535,35.02655198,32.45734622
101543,35.00184363,32.50541688
101568,34.94878577,32.45258634
101576,34.99871211,32.46463499
101584,35.0093937,32.3944056
101592,35.0088076,32.48370495
101600,34.97409068,32.4469632
101618,34.90681449,32.50571486
101626,34.90391897,32.51881922
101634,34.92527895,32.52931955
101642,35.10155384,32.48712439
101659,34.89117631,32.49206065
101667,34.94663147,32.64830286
101675,34.93169381,32.63601693
101683,34.9219249,32.60778949
101691,34.95276376,32.67738663
101709,34.95521956,32.66073685
101725,34.98319155,32.62153743
101733,34.99202182,32.69934383
101741,35.00499298,32.73142994
101758,34.92090739,32.61289095
101766,34.98965975,32.6436228
101774,35.0021003,32.59972054
101790,34.91672393,32.55842621
101808,34.91672393,32.55842621
101899,34.96785084,32.75792053
